duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
186.74667,7,-18.336,1,181.599,0.67,0.75456,178.16672,0.818,1.0,4,0.98,2012,11,0.506,0.258,0.0605,0.361,0.0,0.0349,0.934,186747,125.0, Spain
76.85224,3,-13.324,1,150.046,0.35,0.0,69.13741,0.0,0.0,4,1.0,2020,43,0.743,0.691,0.0719,0.425,0.962,0.0967,0.87,76852,35.0, Romania
91.71755,6,-12.596,1,63.453,0.0,0.0,91.71755,0.589,0.341,4,1.0,2020,0,0.541,0.39,0.158,0.646,0.0518,0.487,0.197,91718,83.0, Belgium
471.09332,6,-24.321,0,72.3,0.24,0.80073,452.48727,0.086,0.007,3,0.58,2013,10,0.143,0.114,0.0407,0.99,0.0105,0.139,0.0388,471093,118.0, United Kingdom
161.16,10,-3.98,0,115.019,0.3,2.00853,155.83492,0.418,0.269,4,1.0,2003,30,0.698,0.944,0.0311,0.0377,0.00114,0.212,0.922,161160,93.0, Denmark
199.04,9,-12.85,0,91.022,0.0,0.40073,179.94304,0.052,0.0,4,0.303,2006,0,0.363,0.181,0.0309,0.973,0.00372,0.085,0.194,199040,56.0, Malta
263.8443,5,-6.717,1,139.126,0.05,3.52943,253.10332,0.27,0.459,4,1.0,2017,0,0.428,0.573,0.0571,0.369,0.0,0.0736,0.6,263844,23.0, Netherlands
227.34666,9,-5.278,0,128.002,0.09,0.66181,218.68553,0.495,0.562,4,1.0,2015,2,0.662,0.898,0.0529,0.011,2.4e-06,0.0619,0.422,227347,138.0, Poland
182.2429,9,-3.772,0,106.993,0.46,0.48789,177.51076,0.493,0.596,4,1.0,2017,37,0.62,0.831,0.0397,0.00304,6.9e-05,0.403,0.343,182243,156.0, Netherlands
213.52562,11,-8.739,1,139.033,0.01,2.74576,209.80971,0.551,0.416,4,0.862,2016,4,0.701,0.573,0.0424,0.227,0.0,0.0721,0.657,213526,148.0, Armenia
211.86209,9,-16.453,0,59.136,0.0,3.63973,199.37814,0.636,0.608,3,1.0,2017,2,0.293,0.167,0.0442,0.93,2.66e-05,0.321,0.336,211862,149.0, Belarus
165.63066,11,-3.805,0,152.037,0.05,0.06363,157.2165,0.569,0.647,4,1.0,2018,4,0.461,0.829,0.0649,0.348,0.0,0.272,0.319,165631,147.0, Ukraine
182.90321,9,-4.626,0,85.095,0.0,0.16898,176.93025,0.303,0.267,4,1.0,2020,2,0.615,0.775,0.0496,0.362,0.0,0.261,0.621,182903,107.0, Malta
173.59755,9,-6.486,0,81.917,0.12,0.28358,169.25024,0.573,0.704,4,1.0,2017,14,0.498,0.545,0.0514,0.165,0.0,0.0681,0.352,173598,188.0, Russia
177.09656,5,-4.771,1,99.951,0.1,2.98957,172.25723,0.185,0.181,4,1.0,2017,19,0.716,0.7,0.0483,0.153,0.0,0.316,0.556,177097,172.0, Australia
185.28,3,-5.935,1,128.017,0.04,0.54499,177.08698,0.429,0.41,4,0.929,2013,12,0.63,0.601,0.0288,0.0679,0.0,0.0509,0.361,185280,46.0, Sweden
175.4,9,-8.14,0,124.533,0.0,0.2673,169.32571,0.869,0.631,4,0.843,2020,0,0.393,0.382,0.0356,0.777,3.83e-05,0.237,0.658,175400,108.0, Belarus
207.58472,2,-4.204,1,146.001,0.26,0.14689,203.69705,0.814,0.928,4,1.0,2019,1,0.695,0.883,0.0374,0.116,0.0,0.0319,0.864,207585,91.0, Georgia
167.94667,6,-8.143,0,135.056,0.27,0.16825,162.97507,0.01,0.0,4,1.0,2015,12,0.707,0.761,0.0403,0.00349,0.00115,0.191,0.873,167947,59.0, Netherlands
214.10626,5,-9.667,0,99.889,0.04,3.19855,208.62549,0.218,0.0,4,0.92,2019,11,0.603,0.592,0.0592,0.0117,3.01e-05,0.223,0.215,214106,130.0, Malta
178.56,7,-7.94,1,169.966,0.02,0.14041,173.08154,0.514,0.346,4,0.791,2012,0,0.381,0.862,0.0452,0.000466,1.63e-05,0.395,0.709,178560,19.0, Belgium
142.6634,9,-7.106,0,164.992,0.03,1.09129,139.33714,0.475,0.532,3,1.0,2007,0,0.667,0.883,0.0361,0.108,7.29e-06,0.0735,0.967,142663,136.0, Armenia
99.09333,0,-6.443,1,100.016,0.04,0.0,94.23238,0.737,0.783,4,1.0,2008,1,0.884,0.605,0.0369,0.114,1.46e-06,0.0583,0.904,99093,54.0, Romania
249.29333,0,-3.757,1,122.511,0.82,5.94431,234.42867,0.595,0.631,4,1.0,1986,83,0.532,0.887,0.0335,0.0778,0.000214,0.294,0.795,249293,86.0, Bulgaria
187.12498,8,-6.411,0,158.483,0.22,0.36422,179.70503,0.825,0.931,3,0.925,2019,33,0.2,0.476,0.0305,0.21,0.0,0.126,0.162,187125,120.0,Serbia Serbia
158.26933,5,-4.774,0,123.978,0.35,0.0,152.62476,0.38,0.355,4,0.702,2011,44,0.753,0.869,0.0276,0.0728,0.0,0.202,0.968,158269,39.0, Netherlands
150.7826,7,-10.727,1,115.079,0.23,0.53365,141.66495,0.475,0.476,4,0.744,2015,20,0.52,0.405,0.0399,0.00472,0.00398,0.108,0.0895,150783,37.0, Malta
96.03333,11,-11.29,1,80.245,0.4,0.0,96.03333,0.459,0.276,3,0.418,2018,2,0.295,0.498,0.181,0.852,0.936,0.166,0.245,96033,33.0, Lithuania
173.05333,10,-4.951,1,202.089,0.1,0.0,161.36707,0.614,0.726,4,1.0,2007,4,0.465,0.822,0.0399,0.607,0.0,0.117,0.395,173053,22.0, Portugal
210.76926,10,-32.72,1,92.33,0.18,3.40172,201.31702,0.762,0.702,5,0.983,2016,24,0.19,0.0184,0.0375,0.989,0.96,0.102,0.0392,210769,80.0, Romania
210.46875,1,-4.655,1,128.009,0.63,0.56313,202.8263,0.691,0.75,4,1.0,2019,68,0.649,0.555,0.0292,0.0616,3.45e-06,0.0874,0.607,210469,90.0, Spain
164.95973,8,-5.501,1,75.993,0.68,2.26395,156.90884,0.913,0.923,4,1.0,2018,10,0.518,0.619,0.0301,0.158,6.64e-06,0.0989,0.225,164960,116.0, Sweden
506.72,9,-14.523,1,136.764,0.63,2.58322,503.07773,0.21,0.214,4,0.857,1977,64,0.552,0.643,0.14,0.144,0.0027,0.0878,0.763,506720,71.0, Belgium
105.43302,5,-15.798,1,140.042,0.37,0.0,96.36281,0.558,0.237,4,1.0,2020,49,0.783,0.351,0.165,0.0469,0.928,0.0919,0.279,105433,72.0, Belgium
216.99982,10,-3.865,1,129.972,0.02,0.16834,213.10114,0.497,0.593,4,0.783,2012,2,0.716,0.915,0.0483,0.0968,7.4e-05,0.177,0.695,217000,88.0, Russia
115.2,9,-13.419,1,64.599,0.0,0.49347,109.54014,0.655,0.734,5,0.264,2009,0,0.567,0.273,0.0714,0.804,6.87e-06,0.0979,0.245,115200,98.0, Armenia
216.4946,7,-6.092,1,179.981,0.0,0.30789,211.61507,0.493,0.546,4,1.0,2019,0,0.51,0.797,0.0281,0.00212,0.00266,0.161,0.46,216495,103.0, Georgia
229.45052,7,-7.191,1,91.043,0.08,0.30172,221.0888,0.689,0.712,4,1.0,2017,0,0.786,0.577,0.0562,0.0133,0.0,0.0804,0.77,229451,52.0, Moldova
179.98666,6,-3.599,0,125.884,0.23,0.18023,171.67093,0.366,0.213,4,1.0,2015,31,0.686,0.807,0.0673,0.0876,0.0,0.0844,0.608,179987,69.0, Netherlands
162.0,8,-6.888,1,153.833,0.01,0.58653,162.0,0.439,0.315,4,1.0,2004,5,0.547,0.791,0.0469,0.178,0.0,0.251,0.761,162000,48.0, Greece
118.44789,7,-18.013,0,129.938,0.43,0.49923,114.93297,0.516,0.646,4,1.0,2020,55,0.521,0.276,0.306,6.06e-05,0.931,0.248,0.422,118448,12.0, Norway
332.0947,0,-7.921,1,139.7,0.01,0.22649,323.33206,0.609,0.527,4,0.804,2011,0,0.462,0.294,0.0368,0.212,3.01e-06,0.143,0.164,332095,78.0, France
164.21333,4,-5.194,1,179.957,0.19,0.1161,158.2498,0.452,0.552,4,1.0,2015,9,0.552,0.73,0.0353,0.214,3.23e-05,0.102,0.717,164213,126.0, Croatia
197.8,5,-6.153,1,76.262,0.43,0.50522,193.61958,0.48,0.417,4,0.622,2017,41,0.437,0.351,0.0417,0.54,0.0,0.0959,0.514,197800,116.0, Denmark
152.50667,0,-5.182,1,160.023,0.5,0.0,149.88481,0.521,0.516,4,1.0,2004,49,0.76,0.914,0.178,0.0251,0.0,0.0864,0.963,152507,171.0, Spain
261.9413,9,-5.969,1,159.979,0.0,2.26975,255.72136,0.611,0.61,4,1.0,2020,0,0.609,0.646,0.0533,0.13,2.32e-06,0.0487,0.521,261941,8.0, Sweden
301.21332,7,-12.395,1,96.902,0.49,0.33447,288.28156,0.454,0.428,4,0.998,1999,23,0.655,0.637,0.0337,0.112,0.525,0.0901,0.538,301213,37.0, Belgium
