duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
179.9853,1,-5.999,0,90.945,0.02,0.0,179.9853,0.606,0.564,4,1.0,2016,8,0.542,0.673,0.0296,0.202,0.0,0.231,0.28,179985,27.0, Israel
179.13538,2,-3.978,1,167.893,0.15,0.0,175.10748,0.613,0.433,4,1.0,2016,10,0.47,0.846,0.0516,0.112,0.0,0.219,0.358,179135,202.0, Australia
182.95084,6,-6.376,1,121.963,0.2,3.54685,174.6547,0.51,0.594,4,1.0,2016,8,0.759,0.692,0.0588,0.00753,0.00152,0.0301,0.574,182951,174.0, Netherlands
180.75201,1,-6.744,0,131.956,0.01,0.0,173.4995,0.244,0.486,4,1.0,2016,7,0.701,0.903,0.0373,0.00234,0.00475,0.0322,0.736,180752,27.0, Cyprus
181.74525,10,-6.991,1,85.915,0.04,2.86186,176.55873,0.526,0.451,3,0.697,2016,13,0.256,0.28,0.0313,0.615,0.0,0.188,0.259,181745,239.0, Georgia
175.50667,5,-4.531,1,144.989,0.13,0.09859,169.51727,0.406,0.405,4,1.0,2003,21,0.733,0.911,0.0366,0.0407,0.0,0.0839,0.834,175507,134.0, Croatia
186.34666,3,-5.725,1,125.047,0.13,0.21442,178.36407,0.366,0.43,4,1.0,2003,21,0.714,0.974,0.0877,0.0443,0.0472,0.313,0.517,186347,37.0, Latvia
186.74667,7,-18.336,1,181.599,0.67,0.75456,178.16672,0.818,1.0,4,0.98,2012,11,0.506,0.258,0.0605,0.361,0.0,0.0349,0.934,186747,125.0, Spain
161.16,10,-3.98,0,115.019,0.3,2.00853,155.83492,0.418,0.269,4,1.0,2003,30,0.698,0.944,0.0311,0.0377,0.00114,0.212,0.922,161160,93.0, Denmark
182.2429,9,-3.772,0,106.993,0.46,0.48789,177.51076,0.493,0.596,4,1.0,2017,37,0.62,0.831,0.0397,0.00304,6.9e-05,0.403,0.343,182243,156.0, Netherlands
213.52562,11,-8.739,1,139.033,0.01,2.74576,209.80971,0.551,0.416,4,0.862,2016,3,0.701,0.573,0.0424,0.227,0.0,0.0721,0.657,213526,148.0, Armenia
